SID,validity,target,nonTargetContrast,dis_dp,dis_c,det_dp,det_c,dis_dp_SS,dis_c_SS,det_dp_SS,det_c_SS
"S0007",3,2,1,3.3968524117742,-0.164305661534553,2.39107680339024,-0.958336292366334,3.39685241177418,-0.164305661534553,2.39107680339024,-0.958336292366338
"S0007",1,1,2,2.13851990466234,-0.356816919941679,3.57167210418361,0.775845882842221,2.08527021530888,-0.288076711812277,3.19286406563066,0.557442661246124
"S0007",2,1,2,1.83134014948609,-0.549563717942477,3.30422407443746,0.501762656842724,1.72523821988972,-0.479109241384594,3.30422407443746,0.501762656842726
"S0007",3,1,2,1.03531264587869,0.0869290236438899,2.47251405802583,0.917617665048541,1.05009206344647,0.0943187324277788,2.47251405802582,0.917617665048539
"S0007",1,2,2,2.19788610091471,-0.424453300261275,4.87267327319144,0.125345298338302,2.2239370329585,-0.410559195123774,4.20730511293218,0.0502221375953664
"S0007",2,2,2,1.30766006498618,-0.496519347882919,4.30774938812291,-0,1.30766006498618,-0.496519347882921,4.30774938812292,-0
"S0007",3,2,2,1.86273186742165,-0.931365933710826,4.30774938812291,-0,1.86273186742165,-0.931365933710823,4.30774938812292,-0
"S0013",1,1,1,2.27571458821406,0.396263250245515,4.18666265654722,-0.468350606660411,2.29885993640164,0.375019736851106,3.82870469179579,-0.239522348163558
"S0013",2,1,1,3.01308124779766,0.356191243522822,4.30774938812291,-0,3.01308124779768,0.35619124352282,4.30774938812292,-0
"S0013",3,1,1,2.02289695546722,0.522672066618939,4.01660656148311,-0.145571413319902,2.02289695546722,0.522672066618938,4.01660656148309,-0.145571413319902
"S0013",1,2,1,1.96256718187592,0.169065789438048,5.12336386986805,1.11022302462516e-15,2.03230543871763,0.190653441559211,4.30774938812292,-0
"S0013",2,2,1,3.7254637348433,-0,4.30774938812291,-0,3.72546373484329,-0,4.30774938812292,-0
"S0013",3,2,1,2.42126710337142,0.323486992666835,4.30774938812291,-0,2.42126710337141,0.323486992666835,4.30774938812292,-0
"S0013",1,1,2,3.08254159670396,0.486798346581927,4.87267327319144,0.125345298338302,2.81908765581821,0.291608964115932,4.21138111250513,0.0481841378088877
"S0013",2,1,2,2.456840359026,0.605494456302913,3.687995238414,0.309877074854455,2.42691987741116,0.589283152033607,3.68799523841401,0.309877074854455
"S0013",3,1,2,2.3523803517044,0.289043616833323,3.687995238414,0.309877074854455,2.35226361400898,0.289101985681034,3.68799523841401,0.309877074854455
"S0013",1,2,2,2.80910295645662,0.623517666705599,4.17372320567907,0.224129735417884,2.5469630785026,0.455259230596701,3.91451230892472,0.102579406594438
"S0013",2,2,2,2.74987842644053,0.487792654201388,4.30774938812291,-0,2.72586699102177,0.47098114030503,4.30774938812292,-0
"S0013",3,2,2,2.70435310099457,0.510555316924369,4.01660656148311,0.145571413319902,2.67553586938883,0.496146701121503,4.01660656148309,0.145571413319902
"S0015",1,1,1,1.85456812512058,0.0401375035414126,3.52910350103572,-0.79713018441616,1.92731509042143,0.0558480344484808,3.15585588235178,-0.575946752885565
"S0015",2,1,1,1.63912579149068,0.330786484630669,4.01660656148311,-0.145571413319902,1.63912579149068,0.330786484630669,4.01660656148309,-0.145571413319902
