sdt_SID,sdt_Validity,sdt_Target,sdt_nontargetContrast,dis_over2N_dPrime,dis_over2N_crit
"S0019",3,2,2,0.807415775079045,-0.0850685235751472
"S0019",1,1,3,1.54630934987526,-0.180170120955997
"S0019",2,1,3,1.86169746635912,-0.0892274996066437
"S0019",3,1,3,1.22236590703883,-0.180455654223959
"S0019",1,2,3,2.13623014658922,-0.303405399508222
"S0019",2,2,3,1.34897950039216,-0
"S0019",3,2,3,1.58473767995115,-0.708717106068448
"S0070",1,1,1,2.92513415497662,0.162413644124888
"S0070",2,1,1,2.26195521649032,-0
"S0070",3,1,1,1.7065155922582,0.0116365625561843
"S0070",1,2,1,3.49124173455743,0.291213264422674
"S0070",2,2,1,3.14428343296625,0.290590150938526
"S0070",3,2,1,3.29154750134803,0.495424370298005
"S0070",1,1,2,2.79228210541564,0.137979491644725
"S0070",2,1,2,2.68446992472856,0.191885581988269
"S0070",3,1,2,1.56163630921496,0.106328404411397
"S0070",1,2,2,3.56915289932052,0.526414888597161
"S0070",2,2,2,2.68446992472856,0.191885581988269
"S0070",3,2,2,2.53722161761773,0.594121058612785
"S0070",1,1,3,3.07929327369713,0.19201775927368
"S0070",2,1,3,1.9523928502097,-0.134575191531936
"S0070",3,1,3,1.90919175745106,-0.112974645152614
"S0070",1,2,3,3.46332879224449,-2.22044604925031e-16
"S0070",2,2,3,3.32796566010717,0.198749037368064
"S0070",3,2,3,3.69664650323757,-0.0144086158028687
"S0071",1,1,1,2.22346287902007,-0.277685894331033
"S0071",2,1,1,1.84239077620428,0.168466593843969
"S0071",3,1,1,1.88480734590754,-0.125166850924371
"S0071",1,2,1,2.78947509646346,-0.463340760006986
"S0071",2,2,1,2.95239384936776,-0.386534942737772
"S0071",3,2,1,2.60030686672685,-0
"S0071",1,1,2,2.75451459990347,-0.00573682714890311
"S0071",2,1,2,1.16326616131075,0.0928566695407061
"S0071",3,1,2,1.34897950039216,-0
"S0071",1,2,2,2.47325843998376,-0.495035176130365
"S0071",2,2,2,2.20861029454863,-0.429815397078232
"S0071",3,2,2,2.03749593939488,-0.131601410678566
"S0071",1,1,3,1.86791651531987,-0.463878271311171
"S0071",2,1,3,2.87959665515549,0.32902671094096
"S0071",3,1,3,2.75174062890845,-0.355794081668022
"S0071",1,2,3,3.22186421771701,-0.417137036075401
"S0071",2,2,3,3.63155690594036,-0.0469534144514727
"S0071",3,2,3,3.33500058185994,0.166414344885945
"S0085",1,1,1,2.55218160015934,0.0300950554527307
"S0085",2,1,1,2.43265535878722,0.248906113291911
"S0085",3,1,1,2.58015607392634,0.0279328603403644
"S0085",1,2,1,3.39219885259126,0.161978881943084
"S0085",2,2,1,3.06824108870509,-0
"S0085",3,2,1,2.54411071360213,0.262065187551482
"S0085",1,1,2,2.00760370059719,0.146547530077415
"S0085",2,1,2,2.03749593939488,0.131601410678566
"S0085",3,1,2,2.03749593939488,0.131601410678566
"S0085",1,2,2,3.41982825880203,0.326920002300375
"S0085",2,2,2,3.01308124779766,0.356191243522822
"S0085",3,2,2,2.30069876075202,-0
"S0085",1,1,3,3.54922371776907,-0.262222272816854
"S0085",2,1,3,2.79923492000039,0.332046936122052
"S0085",3,1,3,3.30294558287125,-0.11735224708308
"S0085",1,2,3,3.45346092852331,-0.00493393186059243
"S0085",2,2,3,3.01308124779766,-0.356191243522822
"S0085",3,2,3,2.74987842644053,0.487792654201388
"S0105",1,1,1,1.97385648681052,0.0675442083647909
"S0105",2,1,1,2.28132698862117,0.00968588606542509
"S0105",3,1,1,1.66365837753672,0.157339438572277
"S0105",1,2,1,2.2595232034558,0.388167557866381
"S0105",2,2,1,1.87488452793486,0.0725479052821496
"S0105",3,2,1,1.68447991944566,0.16775020952675
"S0105",1,1,2,1.53781603169447,0.0433097856526754
"S0105",2,1,2,2.30069876075202,-0
"S0105",3,1,2,1.29741547340617,-0.025782013492997
"S0105",1,2,2,2.26019758920783,0.581576511905815
"S0105",2,2,2,1.99791817565566,-0.111812528808955
"S0105",3,2,2,1.63912579149068,0.330786484630669
"S0105",1,1,3,2.53334350747665,0.116322373362315
"S0105",2,1,3,2.26112099701279,0.0197888818696113
"S0105",3,1,3,2.20861029454863,0.429815397078232
"S0105",1,2,3,2.33894203890453,0.202049453350565
