sub_SID,sub_Validity,sub_Target,sub_nontargetContrast,det_dPrime_sub,det_crit_sub,dis_dPrime_sub,dis_crit_sub
"S0111",1,2,2,3.81817391619916,0.0561565862578545,2.72574471229597,0.381230823645718
"S0111",2,2,2,4.01660656148311,0.145571413319902,3.69664650323757,0.0144086158028687
"S0111",3,2,2,3.687995238414,0.309877074854455,2.9446862524527,0.361571509589564
"S0122",1,1,1,3.24479199897729,-0.531478694572833,1.26360930452898,0.00311866882354671
"S0122",2,1,1,3.30422407443746,-0.501762656842724,0.887146559018876,0.443573279509438
"S0122",3,1,1,4.01660656148311,-0.145571413319902,2.30069876075202,-0
"S0122",1,2,1,3.73257918141868,-0.287585103352107,2.86944170334926,-0.324169837657177
"S0122",2,2,1,3.30422407443746,-0.501762656842724,2.68446992472856,-0.191885581988269
"S0122",3,2,1,3.7254637348433,-0,2.37574177792546,0.346249655389816
"S0122",1,1,2,3.56698676946239,0.274304176539117,2.62609539170061,0.176648139477149
"S0122",2,1,2,4.30774938812291,-0,2.03749593939488,0.131601410678566
"S0122",3,1,2,3.7254637348433,-0,1.11077161663679,0.555385808318393
"S0122",1,2,2,3.70820590286212,0.100800720008267,3.2502483171865,0.00199924785886835
"S0122",2,2,2,4.01660656148311,0.145571413319902,2.97350348405844,-0.375980125392433
"S0122",3,2,2,3.687995238414,0.309877074854455,1.9523928502097,0.134575191531936
"S0133",1,1,1,3.91315145349247,-0.197298967315201,2.95113171763612,-0.28365344183682
"S0133",2,1,1,2.42126710337142,-0.323486992666835,0.539273989302959,-0.353288728558608
"S0133",3,1,1,3.687995238414,-0.309877074854455,1.30766006498618,-0.496519347882919
"S0133",1,2,1,4.10971812582873,-0.099015631147063,3.16740075708096,-0.0615635491332239
"S0133",2,2,1,4.30774938812291,-0,2.20861029454863,-0.429815397078232
"S0133",3,2,1,3.16386486331104,-0.571942262405937,1.82483913057209,-0.237929815089963
"S0133",1,1,2,3.92001671645695,0.193866335832957,3.03682595057863,-0.344318892132324
"S0133",2,1,2,4.30774938812291,-0,2.68446992472856,-0.191885581988269
"S0133",3,1,2,3.47188559136499,0.41793189837896,2.17834214051493,-0.021600546379322
"S0133",1,2,2,4.1141394084074,-0.000727857066599511,3.0419070029139,-0.107983136577987
"S0133",2,2,2,4.01660656148311,0.145571413319902,3.03520649039657,0.0165172991542608
"S0133",3,2,2,3.47188559136499,0.41793189837896,2.96631973872955,-0.0179260766792511
"S0149",1,1,1,4.30774938812285,-0,3.28049229752073,0.00830154442165203
"S0149",2,1,1,4.30774938812291,-0,1.46898874434038,-0.415855008205817
"S0149",3,1,1,4.01660656148311,0.145571413319902,1.516110983769,0.0835657416884162
"S0149",1,2,1,3.99917980794391,-0.154284790089477,2.86915921352058,-0.316095799494795
"S0149",2,2,1,4.01660656148311,-0.145571413319902,2.20861029454863,-0.429815397078232
"S0149",3,2,1,3.47188559136499,-0.41793189837896,1.63912579149068,-0.330786484630669
"S0149",1,1,2,4.10829988019196,0.0997247539654479,3.17218467738257,-0.276639528730359
"S0149",2,1,2,3.16386486331104,0.571942262405937,2.80133620191762,-0.433246534857107
"S0149",3,1,2,3.30422407443746,0.501762656842724,2.19955233781416,-0.669048869611625
"S0149",1,2,2,4.11297483710084,0.00305699967971795,3.38155816973971,-0.171952782551786
"S0149",2,2,2,4.30774938812291,-0,3.3968524117742,-0.164305661534553
"S0149",3,2,2,3.30422407443746,0.501762656842724,3.26797688342471,-0.168754649026834
