sub_SID,sub_Validity,sub_Target,sub_nontargetContrast,det_dPrime_sub,det_crit_sub
"S0013",2,1,1,4.33221350578466,-2.22044604925031e-16
"S0013",3,1,1,3.85672838247723,-0.237742561653716
"S0013",1,2,1,5.12336386986801,1.11022302462516e-15
"S0013",2,2,1,4.33221350578466,-2.22044604925031e-16
"S0013",3,2,1,4.33221350578466,-2.22044604925031e-16
"S0013",1,1,2,4.9010977483991,0.111133060734468
"S0013",2,1,2,3.60030691257871,0.365953296602975
"S0013",3,1,2,3.60030691257871,0.365953296602975
"S0013",1,2,2,4.28620947772263,0.183729973388541
"S0013",2,2,2,4.33221350578466,-2.22044604925031e-16
"S0013",3,2,2,3.85672838247723,0.237742561653715
"S0015",1,1,1,3.55213847989208,-0.785612694987984
"S0015",2,1,1,3.85672838247723,-0.237742561653716
"S0015",3,1,1,3.85672838247723,-0.237742561653716
"S0015",1,2,1,3.60010157570766,-0.761631147080193
"S0015",2,2,1,3.85672838247723,-0.237742561653716
"S0015",3,2,1,2.72569902711976,-0.803257239332449
"S0015",1,1,2,4.17191377055713,0.475725049655466
"S0015",2,1,2,3.13352831899403,0.599342593395314
"S0015",3,1,2,3.01860178716702,0.656805859308818
"S0015",1,2,2,4.1347701456442,0.274127590845519
"S0015",2,2,2,3.85672838247723,0.237742561653715
"S0015",3,2,2,3.41386060824365,0.459176448770503
"S0018",1,1,1,4.0754215321633,-0.523971168852381
"S0018",2,1,1,3.3812432591698,-3.33066907387547e-16
"S0018",3,1,1,3.60030691257871,-0.365953296602975
"S0018",1,2,1,4.15479020975443,-0.484286830056816
"S0018",2,2,1,4.33221350578466,-2.22044604925031e-16
"S0018",3,2,1,4.33221350578466,-2.22044604925031e-16
"S0018",1,1,2,4.39669917873892,0.363332345564561
"S0018",2,1,2,4.33221350578466,-2.22044604925031e-16
"S0018",3,1,2,3.85672838247723,0.237742561653715
"S0018",1,2,2,4.70867257164043,0.207345649113808
"S0018",2,2,2,4.33221350578466,-2.22044604925031e-16
"S0018",3,2,2,4.33221350578466,-2.22044604925031e-16
"S0019",1,1,1,4.01481129469455,-0.554276287586756
"S0019",2,1,1,3.60030691257871,-0.365953296602975
"S0019",3,1,1,4.33221350578466,-2.22044604925031e-16
"S0019",1,2,1,3.69649817612123,-0.713432846873413
"S0019",2,2,1,2.47477255858726,-0.928720473598698
"S0019",3,2,1,2.81694405933681,-0.757634723223926
"S0019",1,1,2,4.67705811696479,0.223152876451623
"S0019",2,1,2,2.78742519167841,0.296909033745692
"S0019",3,1,2,3.41386060824365,0.459176448770503
"S0019",1,2,2,3.80476197000133,0.0732134450264422
"S0019",2,2,2,3.85672838247723,-0.237742561653716
"S0019",3,2,2,3.60030691257871,0.365953296602975
"S0070",1,1,1,4.29965218113364,-0.4118558443672
"S0070",2,1,1,3.60030691257871,-0.365953296602975
"S0070",3,1,1,3.85672838247723,-0.237742561653716
"S0070",1,2,1,4.08841699818764,-0.517473435840212
"S0070",2,2,1,3.85672838247723,-0.237742561653716
"S0070",3,2,1,3.13352831899403,-0.599342593395314
"S0070",1,1,2,4.29964602259502,0.184700151694986
"S0070",2,1,2,3.12482178927128,0.128210734949259
"S0070",3,1,2,3.41386060824365,0.459176448770503
"S0070",1,2,2,5.12336386986801,1.11022302462516e-15
"S0070",2,2,2,3.60030691257871,0.365953296602975
"S0070",3,2,2,3.85672838247723,0.237742561653715
