SID,Validity,Target,targetContrast,nontargetContrast,swapAcc
"S0105",3,2,1,0,0
"S0105",1,1,0,1,0
"S0105",2,1,0,1,3.125
"S0105",3,1,0,1,0
"S0105",1,2,0,1,1.04166666666667
"S0105",2,2,0,1,0
"S0105",3,2,0,1,0
"S0105",1,1,0,0,0
"S0105",2,1,0,0,0
"S0105",3,1,0,0,0
"S0105",1,2,0,0,0
"S0105",2,2,0,0,0
"S0105",3,2,0,0,0
"S0108",1,1,1,1,7.29166666666667
"S0108",2,1,1,1,6.25
"S0108",3,1,1,1,21.875
"S0108",1,2,1,1,5.20833333333333
"S0108",2,2,1,1,6.25
"S0108",3,2,1,1,9.375
"S0108",1,1,1,0,5.20833333333333
"S0108",2,1,1,0,0
"S0108",3,1,1,0,0
"S0108",1,2,1,0,7.29166666666667
"S0108",2,2,1,0,15.625
"S0108",3,2,1,0,12.5
"S0108",1,1,0,1,3.125
"S0108",2,1,0,1,9.375
"S0108",3,1,0,1,18.75
"S0108",1,2,0,1,0
"S0108",2,2,0,1,0
"S0108",3,2,0,1,0
"S0108",1,1,0,0,0
"S0108",2,1,0,0,0
"S0108",3,1,0,0,0
"S0108",1,2,0,0,0
"S0108",2,2,0,0,0
"S0108",3,2,0,0,0
"S0111",1,1,1,1,3.125
"S0111",2,1,1,1,6.25
"S0111",3,1,1,1,6.25
"S0111",1,2,1,1,2.08333333333333
"S0111",2,2,1,1,0
"S0111",3,2,1,1,6.25
"S0111",1,1,1,0,12.5
"S0111",2,1,1,0,18.75
"S0111",3,1,1,0,0
"S0111",1,2,1,0,9.375
"S0111",2,2,1,0,0
"S0111",3,2,1,0,3.125
"S0111",1,1,0,1,8.33333333333333
"S0111",2,1,0,1,12.5
"S0111",3,1,0,1,15.625
"S0111",1,2,0,1,3.125
"S0111",2,2,0,1,3.125
"S0111",3,2,0,1,6.25
"S0111",1,1,0,0,0
"S0111",2,1,0,0,0
"S0111",3,1,0,0,0
"S0111",1,2,0,0,0
"S0111",2,2,0,0,0
"S0111",3,2,0,0,0
"S0122",1,1,1,1,13.5416666666667
"S0122",2,1,1,1,12.5
"S0122",3,1,1,1,3.125
"S0122",1,2,1,1,2.08333333333333
"S0122",2,2,1,1,6.25
"S0122",3,2,1,1,6.25
"S0122",1,1,1,0,13.5416666666667
"S0122",2,1,1,0,3.125
"S0122",3,1,1,0,3.125
"S0122",1,2,1,0,5.20833333333333
"S0122",2,2,1,0,9.375
"S0122",3,2,1,0,3.125
"S0122",1,1,0,1,7.29166666666667
"S0122",2,1,0,1,0
"S0122",3,1,0,1,3.125
"S0122",1,2,0,1,4.16666666666667
"S0122",2,2,0,1,3.125
"S0122",3,2,0,1,6.25
"S0122",1,1,0,0,0
"S0122",2,1,0,0,0
"S0122",3,1,0,0,0
"S0122",1,2,0,0,0
"S0122",2,2,0,0,0
"S0122",3,2,0,0,0
"S0133",1,1,1,1,4.16666666666667
"S0133",2,1,1,1,15.625
"S0133",3,1,1,1,12.5
"S0133",1,2,1,1,0
"S0133",2,2,1,1,6.25
"S0133",3,2,1,1,6.25
"S0133",1,1,1,0,4.16666666666667
"S0133",2,1,1,0,12.5
"S0133",3,1,1,0,3.125
"S0133",1,2,1,0,1.04166666666667
"S0133",2,2,1,0,0
"S0133",3,2,1,0,12.5
"S0133",1,1,0,1,4.16666666666667
"S0133",2,1,0,1,0
"S0133",3,1,0,1,9.375
"S0133",1,2,0,1,1.04166666666667
"S0133",2,2,0,1,3.125
"S0133",3,2,0,1,9.375
"S0133",1,1,0,0,0
"S0133",2,1,0,0,0
"S0133",3,1,0,0,0
"S0133",1,2,0,0,0
"S0133",2,2,0,0,0
"S0133",3,2,0,0,0
