SID,Validity,Target,targetContrast,nontargetContrast,Acc,RT
"S0071",2,1,0,0,90.625,0.239864140748978
"S0071",3,1,0,0,100,0.241575069725513
"S0071",1,2,0,0,98.9583333333333,0.217016868293285
"S0071",2,2,0,0,100,0.192676231265068
"S0071",3,2,0,0,93.75,0.198063686490059
"S0085",1,1,1,1,82.2916666666667,0.113549446066221
"S0085",2,1,1,1,84.375,0.191394619643688
"S0085",3,1,1,1,84.375,0.18992568552494
"S0085",1,2,1,1,94.7916666666667,0.0662020494540532
"S0085",2,2,1,1,93.75,0.069380059838295
"S0085",3,2,1,1,87.5,0.109160214662552
"S0085",1,1,0,1,97.9166666666667,0.0497781559824944
"S0085",2,1,0,1,96.875,0.0604343935847282
"S0085",3,1,0,1,100,0.0478296354413033
"S0085",1,2,0,1,92.7083333333333,0.0654495259126027
"S0085",2,2,0,1,90.625,0.0657779276371002
"S0085",3,2,0,1,90.625,0.107045970857143
"S0085",1,1,1,0,93.75,0.0560929452379545
"S0085",2,1,1,0,75,0.114630825817585
"S0085",3,1,1,0,87.5,0.171661712229252
"S0085",1,2,1,0,94.7916666666667,0.0651241441567739
"S0085",2,2,1,0,93.75,0.089783675968647
"S0085",3,2,1,0,90.625,0.0800001919269562
"S0085",1,1,0,0,100,0.0367971609036128
"S0085",2,1,0,0,100,0.0148593112826347
"S0085",3,1,0,0,100,0.0297847390174866
"S0085",1,2,0,0,100,0.0288809637228648
"S0085",2,2,0,0,100,0.0188433304429054
"S0085",3,2,0,0,100,0.0174581706523895
"S0105",1,1,1,1,77.0833333333333,0.501899369060993
"S0105",2,1,1,1,87.5,0.663477003574371
"S0105",3,1,1,1,71.875,0.574982978403568
"S0105",1,2,1,1,81.25,0.626228205859661
"S0105",2,2,1,1,81.25,0.510748513042927
"S0105",3,2,1,1,78.125,0.579982176423073
"S0105",1,1,0,1,100,0.548482179641724
"S0105",2,1,0,1,90.625,0.538276366889477
"S0105",3,1,0,1,100,0.578101098537445
"S0105",1,2,0,1,96.875,0.543767350415389
"S0105",2,2,0,1,96.875,0.53734452277422
"S0105",3,2,0,1,100,0.436833128333092
"S0105",1,1,1,0,89.5833333333333,0.476440864304702
"S0105",2,1,1,0,84.375,0.495404459536076
"S0105",3,1,1,0,84.375,0.593663528561592
"S0105",1,2,1,0,86.4583333333333,0.538801913460096
"S0105",2,2,1,0,81.25,0.469649113714695
"S0105",3,2,1,0,81.25,0.643379591405392
"S0105",1,1,0,0,100,0.488664237161477
"S0105",2,1,0,0,100,0.488440230488777
"S0105",3,1,0,0,100,0.473913788795471
"S0105",1,2,0,0,100,0.468065013488134
"S0105",2,2,0,0,100,0.448712088167667
"S0105",3,2,0,0,100,0.419581957161427
"S0108",1,1,1,1,81.25,0.266974121332169
"S0108",2,1,1,1,78.125,0.255466662347317
"S0108",3,1,1,1,65.625,0.423560038208961
"S0108",1,2,1,1,89.5833333333333,0.445995144546032
"S0108",2,2,1,1,90.625,0.325591035187244
"S0108",3,2,1,1,78.125,0.221962451934814
"S0108",1,1,0,1,93.75,0.20950141052405
"S0108",2,1,0,1,96.875,0.289182864129543
"S0108",3,1,0,1,96.875,0.369163937866688
"S0108",1,2,0,1,90.625,0.145048476755619
"S0108",2,2,0,1,81.25,0.299846731126308
"S0108",3,2,0,1,87.5,0.316615596413612
"S0108",1,1,1,0,85.4166666666667,0.262288009126981
"S0108",2,1,1,0,87.5,0.340381287038326
"S0108",3,1,1,0,68.75,0.593594424426556
"S0108",1,2,1,0,89.5833333333333,0.146687500178814
"S0108",2,2,1,0,87.5,0.15681691467762
"S0108",3,2,1,0,90.625,0.202254593372345
"S0108",1,1,0,0,98.9583333333333,0.128719165921211
"S0108",2,1,0,0,100,0.113652713596821
"S0108",3,1,0,0,100,0.141373813152313
"S0108",1,2,0,0,100,0.117102958261967
"S0108",2,2,0,0,100,0.173979990184307
"S0108",3,2,0,0,100,0.107765577733517
"S0111",1,1,1,1,90.625,0.603305687506994
"S0111",2,1,1,1,90.625,0.599169529974461
"S0111",3,1,1,1,81.25,0.731843397021294
"S0111",1,2,1,1,86.4583333333333,0.475309744477272
"S0111",2,2,1,1,96.875,0.488947458565235
"S0111",3,2,1,1,87.5,0.62398923188448
"S0111",1,1,0,1,86.4583333333333,0.378324945767721
"S0111",2,1,0,1,75,0.532268270850182
"S0111",3,1,0,1,100,0.591519400477409
"S0111",1,2,0,1,88.5416666666667,0.279844701290131
"S0111",2,2,0,1,100,0.363515317440033
"S0111",3,2,0,1,96.875,0.344838224351406
"S0111",1,1,1,0,81.25,1.04948215434949
"S0111",2,1,1,0,68.75,0.587733671069145
"S0111",3,1,1,0,68.75,0.793956756591797
"S0111",1,2,1,0,87.5,0.407397938271364
"S0111",2,2,1,0,96.875,0.518213301897049
"S0111",3,2,1,0,87.5,0.528760939836502
"S0111",1,1,0,0,95.8333333333333,0.202289360264937
"S0111",2,1,0,0,100,0.126579791307449
"S0111",3,1,0,0,100,0.239402651786804
"S0111",1,2,0,0,97.9166666666667,0.149869538843632
"S0111",2,2,0,0,100,0.117564633488655
"S0111",3,2,0,0,100,0.256742864847183
"S0122",1,1,1,1,72.9166666666667,0.237066706021627
"S0122",2,1,1,1,65.625,0.358893692493439
"S0122",3,1,1,1,87.5,0.46051312983036
"S0122",1,2,1,1,91.6666666666667,0.144428287943204
"S0122",2,2,1,1,90.625,0.215054363012314
"S0122",3,2,1,1,84.375,0.314136281609535
"S0122",1,1,0,1,85.4166666666667,0.170208801825841
"S0122",2,1,0,1,87.5,0.227748617529869
"S0122",3,1,0,1,96.875,0.255054272711277
"S0122",1,2,0,1,93.75,0.0623931114872297
"S0122",2,2,0,1,87.5,0.0690850466489792
"S0122",3,2,0,1,96.875,0.137425221502781
"S0122",1,1,1,0,83.3333333333333,0.24379796286424
"S0122",2,1,1,0,84.375,0.337760016322136
"S0122",3,1,1,0,65.625,0.310123205184937
"S0122",1,2,1,0,91.6666666666667,0.16835972170035
"S0122",2,2,1,0,90.625,0.167679809033871
"S0122",3,2,1,0,78.125,0.256646171212196
"S0122",1,1,0,0,98.9583333333333,0.0361187631885211
"S0122",2,1,0,0,100,0.0173723548650742
"S0122",3,1,0,0,96.875,0.0821623951196671
"S0122",1,2,0,0,97.9166666666667,0.0303152029712995
"S0122",2,2,0,0,100,0.0167092904448509
"S0122",3,2,0,0,100,0.0274991616606712
"S0133",1,1,1,1,92.7083333333333,0.258848803738753
"S0133",2,1,1,1,56.25,0.594560191035271
"S0133",3,1,1,1,71.875,0.566840104758739
"S0133",1,2,1,1,94.7916666666667,0.264651109774907
"S0133",2,2,1,1,84.375,0.395286776125431
"S0133",3,2,1,1,81.25,0.740241654217243
"S0133",1,1,0,1,95.8333333333333,0.256245836615562
"S0133",2,1,0,1,81.25,0.505757831037045
"S0133",3,1,0,1,93.75,0.231977768242359
"S0133",1,2,0,1,97.9166666666667,0.11237994581461
"S0133",2,2,0,1,100,0.189045168459415
"S0133",3,2,0,1,84.375,0.237885639071465
"S0133",1,1,1,0,89.5833333333333,0.209177866578102
"S0133",2,1,1,0,90.625,0.530143834650517
"S0133",3,1,1,0,78.125,0.58734617382288
"S0133",1,2,1,0,92.7083333333333,0.219342487553755
"S0133",2,2,1,0,90.625,0.326458938419819
"S0133",3,2,1,0,84.375,0.334864638745785
"S0133",1,1,0,0,100,0.0775109132130941
"S0133",2,1,0,0,100,0.0429007336497307
"S0133",3,1,0,0,100,0.0892839059233665
"S0133",1,2,0,0,98.9583333333333,0.218588518599669
"S0133",2,2,0,0,100,0.126033693552017
"S0133",3,2,0,0,100,0.036195881664753
"S0149",1,1,1,1,95.8333333333333,0.179375424981117
"S0149",2,1,1,1,75,0.544856205582619
"S0149",3,1,1,1,75,0.834067784249783
"S0149",1,2,1,1,91.6666666666667,0.227590349813302
"S0149",2,2,1,1,84.375,0.244454376399517
"S0149",3,2,1,1,78.125,0.788319550454617
"S0149",1,1,0,1,100,0.153608441352844
"S0149",2,1,0,1,100,0.176902443170547
"S0149",3,1,0,1,100,0.37313199788332
"S0149",1,2,0,1,96.875,0.198803119361401
"S0149",2,2,0,1,96.875,0.209607601165771
"S0149",3,2,0,1,90.625,0.430645532906055
"S0149",1,1,1,0,92.7083333333333,0.181680185099443
"S0149",2,1,1,0,78.125,0.455903343856335
"S0149",3,1,1,0,71.875,0.812138080596924
"S0149",1,2,1,0,95.8333333333333,0.233900825182597
"S0149",2,2,1,0,96.875,0.309221282601357
"S0149",3,2,1,0,84.375,0.442915014922619
"S0149",1,1,0,0,100,0.228754863142967
"S0149",2,1,0,0,100,0.252953059971333
"S0149",3,1,0,0,100,0.195924662053585
"S0149",1,2,0,0,98.9583333333333,0.230604899426301
"S0149",2,2,0,0,100,0.197356149554253
"S0149",3,2,0,0,100,0.256354488432407
