SID,Validity,Target,targetContrast,nontargetContrast,point95_SwapAcc
"S0108",1,2,1,0,0
"S0108",2,2,1,0,0
"S0108",3,2,1,0,0
"S0108",1,1,0,0,NaN
"S0108",2,1,0,0,NaN
"S0108",3,1,0,0,NaN
"S0108",1,2,0,0,NaN
"S0108",2,2,0,0,NaN
"S0108",3,2,0,0,NaN
"S0111",1,1,1,1,15.3846153846154
"S0111",2,1,1,1,0
"S0111",3,1,1,1,50
"S0111",1,2,1,1,15.3846153846154
"S0111",2,2,1,1,NaN
"S0111",3,2,1,1,50
"S0111",1,1,0,1,81.8181818181818
"S0111",2,1,0,1,0
"S0111",3,1,0,1,NaN
"S0111",1,2,0,1,81.8181818181818
"S0111",2,2,0,1,NaN
"S0111",3,2,0,1,NaN
"S0111",1,1,1,0,25
"S0111",2,1,1,0,100
"S0111",3,1,1,0,50
"S0111",1,2,1,0,25
"S0111",2,2,1,0,NaN
"S0111",3,2,1,0,50
"S0111",1,1,0,0,NaN
"S0111",2,1,0,0,NaN
"S0111",3,1,0,0,NaN
"S0111",1,2,0,0,NaN
"S0111",2,2,0,0,NaN
"S0111",3,2,0,0,NaN
"S0122",1,1,1,1,25
"S0122",2,1,1,1,66.6666666666667
"S0122",3,1,1,1,40
"S0122",1,2,1,1,25
"S0122",2,2,1,1,66.6666666666667
"S0122",3,2,1,1,40
"S0122",1,1,0,1,83.3333333333333
"S0122",2,1,0,1,75
"S0122",3,1,0,1,NaN
"S0122",1,2,0,1,83.3333333333333
"S0122",2,2,0,1,75
"S0122",3,2,0,1,NaN
"S0122",1,1,1,0,50
"S0122",2,1,1,0,33.3333333333333
"S0122",3,1,1,0,28.5714285714286
"S0122",1,2,1,0,50
"S0122",2,2,1,0,33.3333333333333
"S0122",3,2,1,0,28.5714285714286
"S0122",1,1,0,0,NaN
"S0122",2,1,0,0,NaN
"S0122",3,1,0,0,NaN
"S0122",1,2,0,0,NaN
"S0122",2,2,0,0,NaN
"S0122",3,2,0,0,NaN
"S0133",1,1,1,1,0
"S0133",2,1,1,1,40
"S0133",3,1,1,1,33.3333333333333
"S0133",1,2,1,1,NaN
"S0133",2,2,1,1,40
"S0133",3,2,1,1,33.3333333333333
"S0133",1,1,0,1,NaN
"S0133",2,1,0,1,0
"S0133",3,1,0,1,80
"S0133",1,2,0,1,NaN
"S0133",2,2,0,1,NaN
"S0133",3,2,0,1,80
"S0133",1,1,1,0,14.2857142857143
"S0133",2,1,1,0,33.3333333333333
"S0133",3,1,1,0,60
"S0133",1,2,1,0,14.2857142857143
"S0133",2,2,1,0,33.3333333333333
"S0133",3,2,1,0,60
"S0133",1,1,0,0,NaN
"S0133",2,1,0,0,NaN
"S0133",3,1,0,0,NaN
"S0133",1,2,0,0,NaN
"S0133",2,2,0,0,NaN
"S0133",3,2,0,0,NaN
